Timestamp,A,B,C,D,E,F
2023-02-01 00:00:00,692,6,50,89,31,0
2023-02-01 00:15:00,616,4,84,62,32,0
2023-02-01 00:30:00,437,6,46,57,27,0
2023-02-01 00:45:00,829,5,20,17,30,1
2023-02-01 01:00:00,748,6,43,58,32,2
2023-02-01 01:15:00,337,4,66,20,28,0
2023-02-01 01:30:00,519,7,79,55,31,1
2023-02-01 01:45:00,686,6,86,67,30,0
2023-02-01 02:00:00,433,6,54,48,27,1
2023-02-01 02:15:00,772,7,53,95,29,1
2023-02-01 02:30:00,638,5,45,29,28,2
2023-02-01 02:45:00,559,8,44,80,27,0
2023-02-01 03:00:00,519,6,25,-17,32,0
2023-02-01 03:15:00,318,8,105,48,31,2
2023-02-01 03:30:00,572,7,135,66,28,1
2023-02-01 03:45:00,758,6,184,133,32,0
2023-02-01 04:00:00,798,7,300,169,30,1
2023-02-01 04:15:00,1106,9,351,322,26,1
2023-02-01 04:30:00,1918,8,297,436,31,4
2023-02-01 04:45:00,3082,8,611,464,36,0
2023-02-01 05:00:00,3743,7,603,862,39,13
2023-02-01 05:15:00,5983,7,627,919,52,15
2023-02-01 05:30:00,7310,7,628,918,63,28
2023-02-01 05:45:00,7533,9,947,1230,70,24
2023-02-01 06:00:00,6158,10,872,1113,85,10
2023-02-01 06:15:00,7499,7,1114,1295,91,29
2023-02-01 06:30:00,7303,9,1275,895,102,11
2023-02-01 06:45:00,6921,7,785,1004,117,25
2023-02-01 07:00:00,7115,9,955,675,130,13
2023-02-01 07:15:00,4320,11,683,924,141,2
2023-02-01 07:30:00,5103,7,1072,950,127,7
2023-02-01 07:45:00,4701,11,979,512,156,9
2023-02-01 08:00:00,5323,9,756,820,140,2
2023-02-01 08:15:00,4099,7,671,562,152,9
2023-02-01 08:30:00,3441,8,815,552,149,4
2023-02-01 08:45:00,4735,7,826,515,165,6
2023-02-01 09:00:00,3546,10,782,411,154,4
2023-02-01 09:15:00,3191,10,663,654,174,7
2023-02-01 09:30:00,4587,12,621,845,163,8
2023-02-01 09:45:00,4883,10,777,746,173,10
2023-02-01 10:00:00,3865,8,639,748,184,1
2023-02-01 10:15:00,4644,6,604,767,179,9
2023-02-01 10:30:00,3320,6,699,904,173,2
2023-02-01 10:45:00,4751,7,652,618,180,9
