Timestamp,A,Anomaly_A,B,Anomaly_B,C,Anomaly_C,D,Anomaly_D,E,Anomaly_E,F,Anomaly_F,G,Anomaly_G,H,Anomaly_H,I,Anomaly_I,J,Anomaly_J
2023-02-01 00:00:00,432.0,0,4.0,0,68.0,0,43.0,0,29.0,0,0.0,0,0.0,0,0.0,0,2.540891154114545,0,0.0,0
2023-02-01 00:15:00,442.0,0,5.0,0,86.0,0,63.0,0,32.0,0,0.0,0,25.34592939705101,0,0.0,0,0.4647357429448606,0,0.0,0
2023-02-01 00:30:00,750.0,0,6.0,0,29.0,0,70.0,0,28.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2023-02-01 00:45:00,688.0,0,4.0,0,20.0,0,-4.0,0,27.0,0,1.0,0,0.0,0,0.0,0,0.3884995743868764,0,0.0,0
2023-02-01 01:00:00,397.0,0,5.0,0,61.0,0,80.0,0,27.0,0,1.0,0,0.0,0,0.0,0,0.8512654150112465,0,0.0,0
2023-02-01 01:15:00,737.0,0,6.0,0,49.0,0,70.0,0,29.0,0,0.0,0,0.0,0,0.0,0,0.0441699070870051,0,0.0,0
2023-02-01 01:30:00,574.0,0,5.0,0,38.0,0,53.0,0,28.0,0,1.0,0,0.0,0,0.0,0,0.5729704148476668,0,0.0,0
2023-02-01 01:45:00,673.0,0,6.0,0,80.0,0,17.0,0,29.0,0,0.0,0,0.0,0,0.0,0,0.6852276758656259,0,0.0,0
2023-02-01 02:00:00,366.0,0,7.0,0,36.0,0,66.0,0,31.0,0,0.0,0,16.567268826799374,0,0.0,0,0.2560961316928882,0,0.0,0
2023-02-01 02:15:00,445.0,0,7.0,0,59.0,0,98.0,0,32.0,0,1.0,0,0.0,0,0.0,0,0.2505541485624212,0,0.0,0
2023-02-01 02:30:00,655.0,0,7.0,0,46.0,0,51.0,0,28.0,0,2.0,0,0.0,0,0.0,0,0.6368648519222297,0,0.0,0
2023-02-01 02:45:00,362.0,0,5.0,0,56.0,0,43.0,0,27.0,0,0.0,0,20.487690535431064,0,0.0,0,3.774158546025492,0,0.0,0
2023-02-01 03:00:00,565.0,0,8.0,0,61.0,0,40.0,0,31.0,0,1.0,0,0.0,0,0.30731536051624,0,0.973599879162662,0,0.0,0
2023-02-01 03:15:00,327.0,0,6.0,0,95.0,0,24.0,0,30.0,0,2.0,0,0.0,0,0.0,0,1.9753035001102968,0,0.0,0
2023-02-01 03:30:00,277.0,0,6.0,0,120.0,0,57.0,0,31.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2023-02-01 03:45:00,728.0,0,9.0,0,160.0,0,89.0,0,29.0,0,0.0,0,0.0,0,0.0,0,1.422966424828398,0,0.0,0
2023-02-01 04:00:00,560.0,0,9.0,0,302.0,0,145.0,0,30.0,0,0.0,0,0.0,0,0.0,0,0.5478822222729802,0,0.0,0
2023-02-01 04:15:00,1102.0,0,6.0,0,283.0,0,324.0,0,29.0,0,2.0,0,0.0,0,0.0,0,0.715141749880175,0,0.0,0
2023-02-01 04:30:00,1979.0,0,7.0,0,285.0,0,368.0,0,27.0,0,4.0,0,0.0,0,0.0,0,0.5599260167536764,0,0.0,0
2023-02-01 04:45:00,2279.0,0,10.0,0,520.0,0,452.0,0,35.0,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2023-02-01 05:00:00,4446.0,0,10.0,0,410.0,0,771.0,0,41.0,0,11.0,0,0.0,0,0.0,0,0.1645736475123336,0,0.0,0
2023-02-01 05:15:00,5211.0,0,9.0,0,592.0,0,726.0,0,53.0,0,21.0,0,0.0,0,0.3950761475162231,0,0.1944122111592516,0,0.0,0
2023-02-01 05:30:00,4426.0,0,9.0,0,921.0,0,938.0,0,59.0,0,4.0,0,0.0,0,0.0,0,3.004657040929795,0,0.0,0
2023-02-01 05:45:00,5559.0,0,10.0,0,1061.0,0,1257.0,0,75.0,0,0.0,0,0.0,0,0.0,0,0.3064279665415351,0,0.0,0
2023-02-01 06:00:00,5296.0,0,11.0,0,1083.0,0,1347.0,0,78.0,0,21.0,0,56.75271271409671,0,0.0,0,0.4195391559430302,0,0.0,0
2023-02-01 06:15:00,6574.0,0,11.0,0,684.0,0,1295.0,0,83.0,0,21.0,0,0.0,0,0.0,0,2.8904803976353595,0,0.0,0
2023-02-01 06:30:00,6095.0,0,7.0,0,818.0,0,814.0,0,104.0,0,10.0,0,0.0,0,0.0,0,0.1918970912975795,0,0.0,0
